"BehaviorSpace results (NetLogo 5.3)"
"Virus.nlogo"
"experiment"
"01/27/2016 11:08:48:370 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","duration","infectiousness","chance-recover","[step]","count turtles"
"5","10","25","0","49","132"
"6","10","25","0","47","135"
"5","10","25","0","50","132"
"2","10","10","0","27","138"
"7","10","40","0","27","132"
"6","10","25","0","48","135"
"5","10","25","0","51","132"
"6","10","25","0","49","135"
"5","10","25","0","52","132"
"6","10","25","0","50","135"
"5","10","25","0","53","132"
"7","10","40","0","28","132"
"6","10","25","0","51","135"
"5","10","25","0","54","132"
"6","10","25","0","52","135"
"5","10","25","0","55","132"
"2","10","10","0","28","137"
"5","10","25","0","56","132"
"6","10","25","0","53","135"
"7","10","40","0","29","132"
"5","10","25","0","57","132"
"6","10","25","0","54","135"
"5","10","25","0","58","132"
"6","10","25","0","55","135"
"2","10","10","0","29","137"
"7","10","40","0","30","132"
"5","10","25","0","59","132"
"6","10","25","0","56","135"
"6","10","25","0","57","135"
"5","10","25","0","60","132"
"2","10","10","0","30","137"
"7","10","40","0","31","132"
"6","10","25","0","58","135"
"5","10","25","0","61","132"
"6","10","25","0","59","135"
"5","10","25","0","62","132"
"6","10","25","0","60","135"
"5","10","25","0","63","132"
"6","10","25","0","61","135"
"5","10","25","0","64","132"
"2","10","10","0","31","137"
"7","10","40","0","32","132"
"5","10","25","0","65","132"
"6","10","25","0","62","135"
"5","10","25","0","66","132"
"6","10","25","0","63","135"
"5","10","25","0","67","132"
"6","10","25","0","64","135"
"7","10","40","0","33","132"
"5","10","25","0","68","132"
"6","10","25","0","65","135"
"5","10","25","0","69","132"
"2","10","10","0","32","137"
"6","10","25","0","66","134"
"7","10","40","0","34","132"
"5","10","25","0","70","132"
"6","10","25","0","67","134"
"5","10","25","0","71","132"
"6","10","25","0","68","134"
"5","10","25","0","72","132"
"7","10","40","0","35","132"
"5","10","25","0","73","132"
"6","10","25","0","69","134"
"2","10","10","0","33","137"
"5","10","25","0","74","132"
"6","10","25","0","70","134"
"5","10","25","0","75","132"
"7","10","40","0","36","132"
"5","10","25","0","76","132"
"6","10","25","0","71","134"
"5","10","25","0","77","132"
"6","10","25","0","72","133"
"5","10","25","0","78","132"
"2","10","10","0","34","137"
"7","10","40","0","37","132"
"6","10","25","0","73","133"
"5","10","25","0","79","132"
"7","10","40","0","38","132"
"6","10","25","0","74","133"
"5","10","25","0","80","132"
"6","10","25","0","75","133"
"5","10","25","0","81","132"
"6","10","25","0","76","133"
"5","10","25","0","82","132"
"7","10","40","0","39","132"
"6","10","25","0","77","133"
"5","10","25","0","83","132"
"6","10","25","0","78","133"
"5","10","25","0","84","132"
"7","10","40","0","40","132"
"6","10","25","0","79","133"
"5","10","25","0","85","132"
"2","10","10","0","35","137"
"6","10","25","0","80","133"
"7","10","40","0","41","132"
"5","10","25","0","86","132"
"6","10","25","0","81","133"
"5","10","25","0","87","132"
"6","10","25","0","82","133"
"5","10","25","0","88","132"
"2","10","10","0","36","137"
"6","10","25","0","83","133"
"7","10","40","0","42","132"
"6","10","25","0","84","133"
"5","10","25","0","89","132"
"6","10","25","0","85","133"
"2","10","10","0","37","137"
"5","10","25","0","90","132"
"6","10","25","0","86","133"
"7","10","40","0","43","132"
"5","10","25","0","91","132"
"6","10","25","0","87","133"
"5","10","25","0","92","132"
"7","10","40","0","44","132"
"6","10","25","0","88","133"
"5","10","25","0","93","132"
"2","10","10","0","38","136"
"6","10","25","0","89","133"
"5","10","25","0","94","132"
"7","10","40","0","45","132"
"6","10","25","0","90","133"
"5","10","25","0","95","132"
"7","10","40","0","46","132"
"6","10","25","0","91","133"
"5","10","25","0","96","132"
"7","10","40","0","47","132"
"2","10","10","0","39","136"
"5","10","25","0","97","132"
"6","10","25","0","92","133"
"7","10","40","0","48","132"
"6","10","25","0","93","133"
"5","10","25","0","98","132"
"2","10","10","0","40","136"
"7","10","40","0","49","132"
"6","10","25","0","94","133"
"6","10","25","0","95","133"
"7","10","40","0","50","132"
"5","10","25","0","99","132"
"6","10","25","0","96","133"
"7","10","40","0","51","132"
"7","10","40","0","52","132"
"6","10","25","0","97","133"
"5","10","25","0","100","132"
"2","10","10","0","41","136"
"7","10","40","0","53","132"
"6","10","25","0","98","133"
"5","10","25","0","101","132"
"6","10","25","0","99","133"
"7","10","40","0","54","132"
"6","10","25","0","100","133"
"5","10","25","0","102","132"
"7","10","40","0","55","132"
"6","10","25","0","101","133"
"5","10","25","0","103","132"
"6","10","25","0","102","133"
"7","10","40","0","56","132"
"5","10","25","0","104","132"
"6","10","25","0","103","133"
"7","10","40","0","57","132"
"5","10","25","0","105","132"
"2","10","10","0","42","136"
"6","10","25","0","104","133"
